Ticker,Name,Price,Dividend Yield,Market Cap ($M),P/E Ratio,Payout Ratio
MCHP,Microchip Technology Incorporated,$73.77 ,2.00%,"$17,265 ",14.7,29.30%
MCRNF,MICRO MECHANICS HL,$1.34 ,0.00%,$,,
MDF.TO,Mediagrif Interactive Technologies Inc.,$10.42 ,4.00%,$153 ,18,71.90%
MEI,Methode Electronics Inc.,$29.26 ,1.50%,"$1,070 ",10.5,15.90%
MGIC,Magic Software Enterprises Ltd.,$8.00 ,3.90%,$388 ,14.5,56.60%
MIELF,Mitsubishi Electric Corporation,$12.55 ,2.40%,"$26,648 ",12.2,29.40%
MIXIF,"mixi, Inc.",$21.75 ,4.80%,"$1,740 ",6.3,29.80%
MIXT,MiX Telematics Limited American Depositary Shares each representing 25,$17.71 ,1.20%,$397 ,41.2,50.00%
MKSI,MKS Instruments Inc.,$72.99 ,1.10%,"$3,893 ",9.1,10.10%
MLAB,Mesa Laboratories Inc.,$198.95 ,0.30%,$772 ,84.7,27.00%
MNBEF,MinebeaMitsumi Inc.,$14.35 ,1.20%,"$6,509 ",13,16.20%
MNBEY,MinebeaMitsumi Inc.,$29.50 ,1.60%,"$6,125 ",13.4,21.70%
MNDO,MIND C.T.I. Ltd.,$2.27 ,13.00%,$44 ,,
MPWR,Monolithic Power Systems Inc.,$122.13 ,1.00%,"$5,103 ",51.7,51.60%
MRAAF,"Murata Manufacturing Co., Ltd.",$136.50 ,1.70%,"$29,035 ",19.6,32.40%
MRVL,Marvell Technology Group Ltd.,$15.67 ,1.60%,"$10,021 ",16.8,26.60%
MSFT,Microsoft Corporation,$102.98 ,1.80%,"$780,748 ",27.6,49.90%
MSI,Motorola Solutions Inc.,$124.33 ,1.80%,"$20,207 ",19.8,36.50%
MTHRF,"M3, Inc.",$14.60 ,1.30%,"$9,312 ",52.1,67.30%
MTSC,MTS Systems Corporation,$46.96 ,2.50%,$841 ,26.2,66.90%
MXIM,Maxim Integrated Products Inc.,$52.60 ,3.50%,"$14,421 ",20.2,71.20%
NATI,National Instruments Corporation,$47.23 ,2.00%,"$6,222 ",38.1,74.60%
NEXOF,"NEXON Co., Ltd.",$10.00 ,0.00%,"$7,304 ",10,0.00%
NICE,NICE Ltd,$110.52 ,0.00%,"$6,827 ",39.5,0.00%
NOK,Nokia Corporation Sponsored American Depositary Shares,$5.56 ,4.10%,"$30,810 ",19.9,80.50%
NOKBF,Nokia Corporation,$5.70 ,3.90%,"$31,958 ",-30,-116.70%
NPEGF,NIPPON ELEC GLASS,$26.80 ,0.00%,$,,
NPSNY,Naspers Limited,$37.56 ,0.20%,"$84,723 ",7.2,1.60%
NTAP,NetApp Inc.,$67.79 ,2.40%,"$17,545 ",24.3,57.40%
NTDOF,"NTDOF - Nintendo Co., Ltd.",$273.00 ,2.80%,"$32,678 ",23.7,66.70%
NTDOY,"Nintendo Co., Ltd.",$33.95 ,1.80%,"$32,978 ",23.6,43.40%
NTES,NetEase Inc.,$235.52 ,0.80%,"$29,785 ",35.5,28.00%
NTP,Nam Tai Property Inc.,$9.34 ,3.00%,$349 ,,
NVDA,NVIDIA Corporation,$150.82 ,0.40%,"$90,939 ",37.1,15.90%
NVEC,NVE Corporation,$86.50 ,4.70%,$416 ,31.7,147.50%
NXCLF,"Lifull Co., Ltd.",$6.86 ,0.00%,$889 ,31.2,0.00%
OMRNY,OMRON Corporation,$40.44 ,1.80%,"$8,719 ",15.9,28.20%
OPESY,Otello Corporation ASA,$3.11 ,0.00%,$202 ,103.7,0.00%
ORCL,Oracle Corporation,$48.82 ,1.60%,"$183,105 ",17.8,28.00%
OSAGF,OSRAM Licht AG,$38.04 ,3.60%,"$3,674 ",23,82.80%
OTEX,Open Text Corporation,$33.25 ,1.90%,"$8,737 ",31.7,59.10%
OTEX.TO,Open Text Corporation,$43.35 ,1.80%,"$11,773 ",48.2,88.10%
OXINF,Oxford Instruments plc,$12.15 ,1.40%,$661 ,28.3,40.40%
PCRFF,Panasonic Corporation,$9.81 ,3.20%,"$22,288 ",10.9,34.30%
PCRFY,Panasonic Corporation,$9.70 ,2.70%,"$22,992 ",10.8,29.00%
PCTI,PC-Tel Inc.,$4.09 ,5.30%,$76 ,-58.4,-309.70%
PEGA,Pegasystems Inc.,$51.14 ,0.20%,"$3,970 ",-639.3,-152.10%
PKE,Park Electrochemical Corporation,$17.66 ,2.30%,$356 ,41.1,93.60%
PLPC,Preformed Line Products Company,$64.55 ,1.30%,$318 ,,
PLT,Plantronics Inc.,$49.11 ,1.20%,"$1,924 ",19.6,24.40%
PMCUF,Pro Medicus Limited,$7.09 ,0.60%,$731 ,78.8,46.50%
POWI,Power Integrations Inc.,$58.97 ,1.10%,"$1,705 ",24.9,27.40%
PRYMF,Prysmian S.p.A.,$18.84 ,2.80%,"$4,841 ",17.4,48.50%
PRYMY,Prysmian S.p.A.,$8.88 ,2.90%,"$4,736 ",16.4,47.00%
PTFRY,PT Tower Bersama Infrastructure Tbk,$15.38 ,3.90%,"$1,235 ",8.5,33.10%
PTG.TO,"Pivot Technology Solutions, Inc.",$1.10 ,13.60%,$45 ,-5.5,-74.60%
PXGYF,PAX Global Technology Limited,$0.47 ,0.00%,$563 ,10.3,0.00%
QADA,QAD Inc.,$41.72 ,0.70%,$773 ,-320.9,-232.30%
QADB,QAD Inc.,$30.16 ,0.80%,$592 ,,
QCOM,QUALCOMM Incorporated,$56.13 ,4.50%,"$66,572 ",17.3,78.00%
QTRH,Quarterhill Inc.,$1.10 ,3.50%,$130 ,-6.9,-24.00%
QTRH.TO,Quarterhill Inc.,$1.47 ,3.30%,$176 ,-4.2,-14.00%
RELL,Richardson Electronics Ltd.,$7.00 ,3.40%,$91 ,,
RFIL,RF Industries Ltd.,$7.67 ,1.00%,$72 ,,
RHDGF,Retail Holdings N.V.,$10.40 ,19.30%,$49 ,2.1,41.20%
RNSHF,Renishaw plc,$48.00 ,1.40%,"$3,170 ",19.9,28.70%
RPGRF,REA GROUP LIMITED,$45.00 ,0.00%,$,,
RSTAY,RIB Software SE,$26.50 ,1.50%,$615 ,37.9,57.50%
RTMVF,Rightmove plc,$5.71 ,1.40%,"$5,038 ",26,36.60%
RTMVY,Rightmove plc,$10.44 ,1.20%,"$4,875 ",23.7,28.50%
SABR,Sabre Corporation,$24.39 ,2.30%,"$6,591 ",17.5,41.00%
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,$67.84 ,1.80%,"$2,854 ",18.2,33.50%
SAP,SAP SE ADS,$101.75 ,1.70%,"$122,825 ",22.1,36.60%
SAPGF,SAP SE,$100.00 ,1.60%,"$121,130 ",24.2,38.90%
